,date,open,close,high,low,volume,code
0,2018-01-02,16.71,17.33,18.0,16.7,13512.0,600071
1,2018-01-03,17.1,17.24,17.55,16.9,8079.0,600071
2,2018-01-04,17.1,17.23,17.38,17.08,6037.0,600071
3,2018-01-05,17.2,17.28,17.4,17.15,4939.0,600071
4,2018-01-08,17.34,17.3,17.39,17.15,4491.0,600071
5,2018-01-09,17.29,17.32,17.34,17.15,4740.0,600071
6,2018-01-10,17.33,16.91,17.34,16.9,6614.0,600071
7,2018-01-11,16.9,17.14,17.22,16.75,7127.0,600071
8,2018-01-12,17.1,16.92,17.13,16.71,3259.0,600071
9,2018-01-15,16.92,16.24,16.92,16.0,6348.0,600071
10,2018-01-16,16.24,15.88,16.52,15.78,8956.0,600071
11,2018-01-17,15.87,15.76,16.08,15.27,11025.0,600071
12,2018-01-18,15.75,15.63,15.75,15.34,9911.0,600071
13,2018-01-19,15.59,15.76,15.86,15.44,8711.0,600071
14,2018-01-22,15.47,16.09,16.2,15.4,9546.0,600071
15,2018-01-23,16.19,16.05,16.19,15.83,5935.0,600071
16,2018-01-24,16.04,16.15,16.27,15.83,7214.0,600071
17,2018-01-25,16.1,16.19,16.28,16.01,6842.0,600071
18,2018-01-26,16.15,16.2,16.46,16.0,6205.0,600071
19,2018-01-29,16.29,16.38,16.41,15.84,10035.0,600071
20,2018-01-30,16.38,16.39,16.5,16.28,4592.0,600071
21,2018-01-31,16.39,16.4,16.47,16.1,6478.0,600071
22,2018-02-01,16.35,16.84,16.97,16.2,28827.0,600071
23,2018-02-02,16.74,16.6,16.8,15.3,8705.0,600071
24,2018-02-05,16.35,16.42,16.6,16.05,7245.0,600071
